name,score
1 (minLog_CoEvolve) 3,7.2475639655471
1 (minLog_CoEvolve) 5,3.47209915555483
3 (minLog_CoEvolve) 5,3.0378814292953
4 (minLog_CoEvolve) 5,3.37676516564473
